,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24
j1,1,,,,,,,,,,,,,,,,,,,,,,,
j2,,1,,,,,,,,,,,,,,,,,,,,,,
j3,,,1,,,,,,,,,,,,,,,,,,,,,
j4,,,,1,,,,,,,,,,,,,,,,,,,,
j5,,,,,1,,,,,,,,,,,,,,,,,,,
j6,,,,,,1,,,,,,,,,,,,,,,,,,
j7,,,,,,,1,,,,,,,,,,,,,,,,,
j8,,,,,,,,1,,,,,,,,,,,,,,,,
j9,,,,,,,,,1,,,,,,,,,,,,,,,
j10,,,,,,,,,,1,,,,,,,,,,,,,,
j11,,,,,,,,,,,,,1,,,,,,,,,,,
j12,,,,,,,,,,,,,,1,,,,,,,,,,
j13,,,,,,,,,,,,,,,1,,,,,,,,,
j14,,,,,,,,,,,,,,,,1,,,,,,,,
j15,,,,,,,,,,,,,,,,,,1,,,,,,
j16,,,,,,,,,,,,,,,,,,,1,,,,,
j17,,,,,,,,,,,,,,,,,,,,1,,,,
