dummy,D_RU,D_RD
t1,164.4696881,
t2,167.0964191,
t3,182.0536417,
t4,250.5932099,
t5,242.3554234,
t6,186.3887226,
t7,254.6232255,
t8,240.4063492,7.701384211
t9,178.0068899,
t10,242.017835,8.669458027
t11,199.2366588,
t12,290.0239304,12.53695964
t13,315.4450834,12.39522219
t14,237.1358856,
t15,208.115537,
t16,268.6099202,12.71345239
t17,317.9248512,18.3556878
t18,297.1415462,19.62757458
t19,292.9800408,18.36627059
t20,327.1279585,15.98755441
t21,310.647492,18.03182669
t22,320.5827802,16.37096127
t23,338.254076,
t24,321.755285,
