dummy,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24
N1,,175,175,,350,,,,,,,,,,,,,,,,,,,
N2,175,,,175,,175,,,,,,,,,,,,,,,,,,
N3,175,,,,,,,,175,,,,,,,,,,,,,,,400
N4,,175,,,,,,,175,,,,,,,,,,,,,,,
N5,350,,,,,,,,,350,,,,,,,,,,,,,,
N6,,175,,,,,,,,175,,,,,,,,,,,,,,
N7,,,,,,,,350,,,,,,,,,,,,,,,,
N8,,,,,,,350,,175,175,,,,,,,,,,,,,,
N9,,,175,175,,,,175,,,400,400,,,,,,,,,,,,
N10,,,,,350,175,,175,,,400,400,,,,,,,,,,,,
N11,,,,,,,,,400,400,,,500,500,,,,,,,,,,
N12,,,,,,,,,400,400,,,500,,,,,,,,,,500,
N13,,,,,,,,,,,500,500,,,,,,,,,,,250,
N14,,,,,,,,,,,500,,,,,250,,,,,,,,
N15,,,,,,,,,,,,,,,,500,,,,,400,,,500
N16,,,,,,,,,,,,,,250,500,,500,,500,,,,,
N17,,,,,,,,,,,,,,,,500,,500,,,,500,,
N18,,,,,,,,,,,,,,,,,500,,,,1000,,,
N19,,,,,,,,,,,,,,,,500,,,,1000,,,,
N20,,,,,,,,,,,,,,,,,,,1000,,,,1000,
N21,,,,,,,,,,,,,,,400,,,1000,,,,500,,
N22,,,,,,,,,,,,,,,,,500,,,,500,,,
N23,,,,,,,,,,,,500,250,,,,,,,1000,,,,
N24,,,400,,,,,,,,,,,,500,,,,,,,,,
