dummy,z1,z2,z3
i1,1,0,0
i2,1,0,0
i3,1,0,0
i4,1,0,0
i5,1,0,0
i6,1,0,0
i7,1,0,0
i8,1,0,0
i9,1,0,0
i10,1,0,0
i11,1,0,0
i12,1,0,0
i13,1,0,0
i14,1,0,0
i15,1,0,0
i16,1,0,0
i17,1,0,0
i18,1,0,0
i19,1,0,0
i20,1,0,0
i21,1,0,0
i22,1,0,0
i23,1,0,0
i24,1,0,0
i25,1,0,0
i26,1,0,0
i27,1,0,0
i28,1,0,0
i29,1,0,0
i30,1,0,0
i31,1,0,0
i32,1,0,0
i33,0,1,0
i34,0,1,0
i35,0,1,0
i36,0,1,0
i37,0,1,0
i38,0,1,0
i39,0,1,0
i40,0,1,0
i41,0,1,0
i42,0,1,0
i43,0,1,0
i44,0,1,0
i45,0,1,0
i46,0,1,0
i47,0,1,0
i48,0,1,0
i49,0,1,0
i50,0,1,0
i51,0,1,0
i52,0,1,0
i53,0,1,0
i54,0,1,0
i55,0,1,0
i56,0,1,0
i57,0,1,0
i58,0,1,0
i59,0,1,0
i60,0,1,0
i61,0,1,0
i62,0,1,0
i63,0,1,0
i64,0,1,0
i65,0,0,1
i66,0,0,1
i67,0,0,1
i68,0,0,1
i69,0,0,1
i70,0,0,1
i71,0,0,1
i72,0,0,1
i73,0,0,1
i74,0,0,1
i75,0,0,1
i76,0,0,1
i77,0,0,1
i78,0,0,1
i79,0,0,1
i80,0,0,1
i81,0,0,1
i82,0,0,1
i83,0,0,1
i84,0,0,1
i85,0,0,1
i86,0,0,1
i87,0,0,1
i88,0,0,1
i89,0,0,1
i90,0,0,1
i91,0,0,1
i92,0,0,1
i93,0,0,1
i94,0,0,1
i95,0,0,1
i96,0,0,1
